ProteinId:ID(Protein),EntryName,FullName,:LABEL
O00559,RCAS1_HUMAN,Receptor-binding cancer antigen expressed on SiSo cells,Protein
P53805,RCAN1_HUMAN,Calcipressin-1,Protein
P62877,RBX1_HUMAN,E3 ubiquitin-protein ligase RBX1,Protein
P06400,RB_HUMAN,Retinoblastoma-associated protein,Protein
P25791,RBTN2_HUMAN,Rhombotin-2,Protein
Q96I51,RCC1L_HUMAN,RCC1-like G exchanging factor-like protein,Protein
Q14206,RCAN2_HUMAN,Calcipressin-2,Protein
Q9P258,RCC2_HUMAN,Protein RCC2,Protein
Q14257,RCN2_HUMAN,Reticulocalbin-2,Protein
Q9UBF6,RBX2_HUMAN,RING-box protein 2,Protein
A6NED2,RCCD1_HUMAN,RCC1 domain-containing protein 1,Protein
Q5TC82,RC3H1_HUMAN,Roquin-1,Protein
Q9Y2P8,RCL1_HUMAN,RNA 3'-terminal phosphate cyclase-like protein,Protein
P0DJD3,RBY1A_HUMAN,"RNA-binding motif protein, Y chromosome, family 1 member A1",Protein
A6NDE4,RBY1B_HUMAN,"RNA-binding motif protein, Y chromosome, family 1 member B",Protein
Q8IZ40,RCOR2_HUMAN,REST corepressor 2,Protein
Q96D15,RCN3_HUMAN,Reticulocalbin-3,Protein
Q9HBD1,RC3H2_HUMAN,Roquin-2,Protein
Q9H4I0,RD21L_HUMAN,Double-strand-break repair protein rad21-like protein 1,Protein
Q9P2K3,RCOR3_HUMAN,REST corepressor 3,Protein
Q15293,RCN1_HUMAN,Reticulocalbin-1,Protein
Q9H7X2,RDD1_HUMAN,Required for drug-induced death protein 1,Protein
P0DJH9,RD3L_HUMAN,Protein RD3-like,Protein
Q9UKL0,RCOR1_HUMAN,REST corepressor 1,Protein
Q7Z3Z2,RD3_HUMAN,Protein RD3,Protein
P54725,RD23A_HUMAN,UV excision repair protein RAD23 homolog A,Protein
Q9NYR8,RDH8_HUMAN,Retinol dehydrogenase 8,Protein
Q8NG50,RDM1_HUMAN,RAD52 motif-containing protein 1,Protein
Q8N3Y7,RDHE2_HUMAN,Epidermal retinol dehydrogenase 2,Protein
Q8NBN7,RDH13_HUMAN,Retinol dehydrogenase 13,Protein
P54727,RD23B_HUMAN,UV excision repair protein RAD23 homolog B,Protein
Q86WS4,RDIC1_HUMAN,Regulator of DNA class I crossover intermediates 1,Protein
Q9HBH5,RDH14_HUMAN,Retinol dehydrogenase 14,Protein
Q8IZV5,RDH10_HUMAN,Retinol dehydrogenase 10,Protein
O75452,RDH16_HUMAN,Retinol dehydrogenase 16,Protein
Q8TC12,RDH11_HUMAN,Retinol dehydrogenase 11,Protein
Q96NR8,RDH12_HUMAN,Retinol dehydrogenase 12,Protein
Q92781,RDH5_HUMAN,Retinol dehydrogenase 5,Protein
P61574,RE113_HUMAN,Endogenous retrovirus group K member 113 Rec protein,Protein
Q69383,REC6_HUMAN,Endogenous retrovirus group K member 6 Rec protein,Protein
Q7Z4M0,RE114_HUMAN,Meiotic recombination protein REC114,Protein
P61576,REC04_HUMAN,Endogenous retrovirus group K member 104 Rec protein,Protein
O95072,REC8_HUMAN,Meiotic recombination protein REC8 homolog,Protein
P61578,REC16_HUMAN,Endogenous retrovirus group K member 16 Rec protein,Protein
P61572,REC19_HUMAN,Endogenous retrovirus group K member 19 Rec protein,Protein
P61571,REC21_HUMAN,Endogenous retrovirus group K member 21 Rec protein,Protein
P61573,REC9_HUMAN,Endogenous retrovirus group K member 9 Rec protein,Protein
Q8TAI7,REBL1_HUMAN,GTPase RhebL1,Protein
P61575,RECK8_HUMAN,Endogenous retrovirus group K member 8 Rec protein,Protein
O95980,RECK_HUMAN,Reversion-inducing cysteine-rich protein with Kazal motifs,Protein
P35243,RECO_HUMAN,Recoverin,Protein
O94761,RECQ4_HUMAN,ATP-dependent DNA helicase Q4,Protein
O94762,RECQ5_HUMAN,ATP-dependent DNA helicase Q5,Protein
P46063,RECQ1_HUMAN,ATP-dependent DNA helicase Q1,Protein
Q9H6H4,REEP4_HUMAN,Receptor expression-enhancing protein 4,Protein
Q13123,RED_HUMAN,Protein Red,Protein
Q6UW15,REG3G_HUMAN,Regenerating islet-derived protein 3-gamma,Protein
Q9NS39,RED2_HUMAN,Double-stranded RNA-specific editase B2,Protein
Q00765,REEP5_HUMAN,Receptor expression-enhancing protein 5,Protein
P05451,REG1A_HUMAN,Lithostathine-1-alpha,Protein
P48304,REG1B_HUMAN,Lithostathine-1-beta,Protein
P78563,RED1_HUMAN,Double-stranded RNA-specific editase 1,Protein
Q9BYZ8,REG4_HUMAN,Regenerating islet-derived protein 4,Protein
P04808,REL1_HUMAN,Prorelaxin H1,Protein
Q9H902,REEP1_HUMAN,Receptor expression-enhancing protein 1,Protein
A0A1B0GV85,RELD1_HUMAN,Reelin domain-containing protein 1,Protein
Q96HR9,REEP6_HUMAN,Receptor expression-enhancing protein 6,Protein
P04090,REL2_HUMAN,Prorelaxin H2,Protein
Q9BRK0,REEP2_HUMAN,Receptor expression-enhancing protein 2,Protein
Q8IUW5,RELL1_HUMAN,RELT-like protein 1,Protein
Q8WXF3,REL3_HUMAN,Relaxin-3,Protein
Q06141,REG3A_HUMAN,Regenerating islet-derived protein 3-alpha,Protein
Q6NUK4,REEP3_HUMAN,Receptor expression-enhancing protein 3,Protein
Q8NC24,RELL2_HUMAN,RELT-like protein 2,Protein
Q01201,RELB_HUMAN,Transcription factor RelB,Protein
O75628,REM1_HUMAN,GTP-binding protein REM 1,Protein
Q04864,REL_HUMAN,Proto-oncogene c-Rel,Protein
P78509,RELN_HUMAN,Reelin,Protein
Q9P260,RELCH_HUMAN,RAB11-binding protein RELCH,Protein
Q6BDI9,REP15_HUMAN,Rab15 effector protein,Protein
Q8IYK8,REM2_HUMAN,GTP-binding protein REM 2,Protein
P00797,RENI_HUMAN,Renin,Protein
Q9H1J1,REN3A_HUMAN,Regulator of nonsense transcripts 3A,Protein
Q92900,RENT1_HUMAN,Regulator of nonsense transcripts 1,Protein
Q9BZI7,REN3B_HUMAN,Regulator of nonsense transcripts 3B,Protein
P51606,RENBP_HUMAN,N-acylglucosamine 2-epimerase,Protein
O75787,RENR_HUMAN,Renin receptor,Protein
Q96D71,REPS1_HUMAN,RalBP1-associated Eps domain-containing protein 1,Protein
Q9BWE0,REPI1_HUMAN,DNA-binding protein REPIN1,Protein
Q92785,REQU_HUMAN,Zinc finger protein ubi-d4,Protein
Q9HAU5,RENT2_HUMAN,Regulator of nonsense transcripts 2,Protein
Q8NFH8,REPS2_HUMAN,RalBP1-associated Eps domain-containing protein 2,Protein
P09455,RET1_HUMAN,Retinol-binding protein 1,Protein
Q9BQ08,RETNB_HUMAN,Resistin-like beta,Protein
Q9HCM1,RESF1_HUMAN,Retroelement silencing factor 1,Protein
Q86VR2,RETR3_HUMAN,Reticulophagy regulator 3,Protein
P02753,RET4_HUMAN,Retinol-binding protein 4,Protein
P50120,RET2_HUMAN,Retinol-binding protein 2,Protein
Q9P2R6,RERE_HUMAN,Arginine-glutamic acid dipeptide repeats protein,Protein
O15258,RER1_HUMAN,Protein RER1,Protein
Q9HD89,RETN_HUMAN,Resistin,Protein
Q6NUM9,RETST_HUMAN,"All-trans-retinol 13,14-reductase",Protein
P82980,RET5_HUMAN,Retinol-binding protein 5,Protein
Q96R05,RET7_HUMAN,Retinoid-binding protein 7,Protein
Q13127,REST_HUMAN,RE1-silencing transcription factor,Protein
Q9H628,RERGL_HUMAN,Ras-related and estrogen-regulated growth inhibitor-like protein,Protein
P10745,RET3_HUMAN,Retinol-binding protein 3,Protein
Q96A58,RERG_HUMAN,Ras-related and estrogen-regulated growth inhibitor,Protein
Q5W5W9,RES18_HUMAN,Regulated endocrine-specific protein 18,Protein
Q9H6L5,RETR1_HUMAN,Reticulophagy regulator 1,Protein
Q8N1G1,REXO1_HUMAN,RNA exonuclease 1 homolog,Protein
Q9GZR2,REXO4_HUMAN,RNA exonuclease 4,Protein
Q96EN9,REX1B_HUMAN,Required for excision 1-B domain-containing protein,Protein
Q8NC44,RETR2_HUMAN,Reticulophagy regulator 2,Protein
P07949,RET_HUMAN,Proto-oncogene tyrosine-protein kinase receptor Ret,Protein
Q96IC2,REXO5_HUMAN,RNA exonuclease 5,Protein
Q9UBZ9,REV1_HUMAN,DNA repair protein REV1,Protein
Q9UGC7,RF1ML_HUMAN,"Peptide chain release factor 1-like, mitochondrial",Protein
O60673,REV3L_HUMAN,DNA polymerase zeta catalytic subunit,Protein
O75570,RF1M_HUMAN,"Peptide chain release factor 1, mitochondrial",Protein
Q13156,RFA4_HUMAN,Replication protein A 30 kDa subunit,Protein
P40938,RFC3_HUMAN,Replication factor C subunit 3,Protein
P27694,RFA1_HUMAN,Replication protein A 70 kDa DNA-binding subunit,Protein
P15927,RFA2_HUMAN,Replication protein A 32 kDa subunit,Protein
P35251,RFC1_HUMAN,Replication factor C subunit 1,Protein
F8VTS6,RFAL1_HUMAN,Ret finger protein-like 4A-like protein 1,Protein
P35249,RFC4_HUMAN,Replication factor C subunit 4,Protein
P0C7P2,RFL3S_HUMAN,Putative protein RFPL3S,Protein
P35250,RFC2_HUMAN,Replication factor C subunit 2,Protein
P35244,RFA3_HUMAN,Replication protein A 14 kDa subunit,Protein
Q6ZTI6,RFLA_HUMAN,Refilin-A,Protein
Q6ZWI9,RFPLB_HUMAN,Ret finger protein-like 4B,Protein
Q8N5W9,RFLB_HUMAN,Refilin-B,Protein
P40937,RFC5_HUMAN,Replication factor C subunit 5,Protein
O43251,RFOX2_HUMAN,RNA binding protein fox-1 homolog 2,Protein
Q6WKZ4,RFIP1_HUMAN,Rab11 family-interacting protein 1,Protein
Q8TAC1,RFESD_HUMAN,Rieske domain-containing protein,Protein
Q9Y644,RFNG_HUMAN,"Beta-1,3-N-acetylglucosaminyltransferase radical fringe",Protein
A6NFN3,RFOX3_HUMAN,RNA binding protein fox-1 homolog 3,Protein
Q14699,RFTN1_HUMAN,Raftlin,Protein
Q7L804,RFIP2_HUMAN,Rab11 family-interacting protein 2,Protein
Q8WZ73,RFFL_HUMAN,E3 ubiquitin-protein ligase rififylin,Protein
Q52LD8,RFTN2_HUMAN,Raftlin-2,Protein
Q2KHR2,RFX7_HUMAN,DNA-binding protein RFX7,Protein
P48380,RFX3_HUMAN,Transcription factor RFX3,Protein
Q9NWB1,RFOX1_HUMAN,RNA binding protein fox-1 homolog 1,Protein
Q6ZV50,RFX8_HUMAN,DNA-binding protein RFX8,Protein
Q96AA3,RFT1_HUMAN,Man(5)GlcNAc(2)-PP-dolichol translocation protein RFT1,Protein
Q6PCD5,RFWD3_HUMAN,E3 ubiquitin-protein ligase RFWD3,Protein
O75154,RFIP3_HUMAN,Rab11 family-interacting protein 3,Protein
O00287,RFXAP_HUMAN,Regulatory factor X-associated protein,Protein
O75677,RFPL1_HUMAN,Ret finger protein-like 1,Protein
Q33E94,RFX4_HUMAN,Transcription factor RFX4,Protein
Q8N9B8,RGF1A_HUMAN,Ras-GEF domain-containing family member 1A,Protein
O75678,RFPL2_HUMAN,Ret finger protein-like 2,Protein
Q9H0H5,RGAP1_HUMAN,Rac GTPase-activating protein 1,Protein
Q0VAM2,RGF1B_HUMAN,Ras-GEF domain-containing family member 1B,Protein
O14593,RFXK_HUMAN,DNA-binding protein RFXANK,Protein
O75679,RFPL3_HUMAN,Ret finger protein-like 3,Protein
Q86YS3,RFIP4_HUMAN,Rab11 family-interacting protein 4,Protein
P48382,RFX5_HUMAN,DNA-binding protein RFX5,Protein
P22670,RFX1_HUMAN,MHC class II regulatory factor RFX1,Protein
A6NLU0,RFPLA_HUMAN,Ret finger protein-like 4A,Protein
Q9BXF6,RFIP5_HUMAN,Rab11 family-interacting protein 5,Protein
Q8N431,RGF1C_HUMAN,Ras-GEF domain-containing family member 1C,Protein
Q8HWS3,RFX6_HUMAN,DNA-binding protein RFX6,Protein
O15211,RGL2_HUMAN,Ral guanine nucleotide dissociation stimulator-like 2,Protein
P48378,RFX2_HUMAN,DNA-binding protein RFX2,Protein
Q6NW40,RGMB_HUMAN,Repulsive guidance molecule B,Protein
Q3MIN7,RGL3_HUMAN,Ral guanine nucleotide dissociation stimulator-like 3,Protein
Q6ZVN8,RGMC_HUMAN,Hemojuvelin,Protein
Q5JS13,RGPS1_HUMAN,Ras-specific guanine nucleotide-releasing factor RalGPS1,Protein
Q9H4X1,RGCC_HUMAN,Regulator of cell cycle RGCC,Protein
Q92546,RGP1_HUMAN,RAB6A-GEF complex partner protein 2,Protein
Q9NZL6,RGL1_HUMAN,Ral guanine nucleotide dissociation stimulator-like 1,Protein
O94810,RGS11_HUMAN,Regulator of G-protein signaling 11,Protein
Q15493,RGN_HUMAN,Regucalcin,Protein
Q86X27,RGPS2_HUMAN,Ras-specific guanine nucleotide-releasing factor RalGPS2,Protein
Q9UGC6,RGS17_HUMAN,Regulator of G-protein signaling 17,Protein
Q6GYQ0,RGPA1_HUMAN,Ral GTPase-activating protein subunit alpha-1,Protein
Q8IZJ4,RGDSR_HUMAN,Ral-GDS-related protein,Protein
O76081,RGS20_HUMAN,Regulator of G-protein signaling 20,Protein
O14924,RGS12_HUMAN,Regulator of G-protein signaling 12,Protein
Q13972,RGRF1_HUMAN,Ras-specific guanine nucleotide-releasing factor 1,Protein
Q9NS28,RGS18_HUMAN,Regulator of G-protein signaling 18,Protein
P57771,RGS8_HUMAN,Regulator of G-protein signaling 8,Protein
Q96B86,RGMA_HUMAN,Repulsive guidance molecule A,Protein
Q2M5E4,RGS21_HUMAN,Regulator of G-protein signaling 21,Protein
O15539,RGS5_HUMAN,Regulator of G-protein signaling 5,Protein
Q8NE09,RGS22_HUMAN,Regulator of G-protein signaling 22,Protein
O14921,RGS13_HUMAN,Regulator of G-protein signaling 13,Protein
P49795,RGS19_HUMAN,Regulator of G-protein signaling 19,Protein
Q2PPJ7,RGPA2_HUMAN,Ral GTPase-activating protein subunit alpha-2,Protein
O14827,RGRF2_HUMAN,Ras-specific guanine nucleotide-releasing factor 2,Protein
O43566,RGS14_HUMAN,Regulator of G-protein signaling 14,Protein
O75916,RGS9_HUMAN,Regulator of G-protein signaling 9,Protein
P41220,RGS2_HUMAN,Regulator of G-protein signaling 2,Protein
P0DJD0,RGPD1_HUMAN,RANBP2-like and GRIP domain-containing protein 1,Protein
P49758,RGS6_HUMAN,Regulator of G-protein signaling 6,Protein
P47804,RGR_HUMAN,RPE-retinal G protein-coupled receptor,Protein
P0DJD1,RGPD2_HUMAN,RANBP2-like and GRIP domain-containing protein 2,Protein
Q08116,RGS1_HUMAN,Regulator of G-protein signaling 1,Protein
A6NKT7,RGPD3_HUMAN,RanBP2-like and GRIP domain-containing protein 3,Protein
Q7Z3J3,RGPD4_HUMAN,RanBP2-like and GRIP domain-containing protein 4,Protein
Q99666,RGPD5_HUMAN,RANBP2-like and GRIP domain-containing protein 5/6,Protein
O43665,RGS10_HUMAN,Regulator of G-protein signaling 10,Protein
A5PLK6,RGSL_HUMAN,Regulator of G-protein signaling protein-like,Protein
O15492,RGS16_HUMAN,Regulator of G-protein signaling 16,Protein
O14715,RGPD8_HUMAN,RANBP2-like and GRIP domain-containing protein 8,Protein
P49796,RGS3_HUMAN,Regulator of G-protein signaling 3,Protein
P49802,RGS7_HUMAN,Regulator of G-protein signaling 7,Protein
P49798,RGS4_HUMAN,Regulator of G-protein signaling 4,Protein
Q02094,RHAG_HUMAN,Ammonium transporter Rh type A,Protein
Q9BWJ2,RHAS1_HUMAN,Putative uncharacterized protein encoded by RHPN1-AS1,Protein
Q9H310,RHBG_HUMAN,Ammonium transporter Rh type B,Protein
O94955,RHBT3_HUMAN,Rho-related BTB domain-containing protein 3,Protein
Q9NX52,RHBL2_HUMAN,Rhomboid-related protein 2,Protein
Q6NTF9,RHBD2_HUMAN,Rhomboid domain-containing protein 2,Protein
P58872,RHBL3_HUMAN,Rhomboid-related protein 3,Protein
Q6PJF5,RHDF2_HUMAN,Inactive rhomboid protein 2,Protein
Q9Y3P4,RHBD3_HUMAN,Rhomboid domain-containing protein 3,Protein
Q8TEB9,RHBL4_HUMAN,Rhomboid-related protein 4,Protein
Q6ZWK4,RHEX_HUMAN,Regulator of hemoglobinization and erythroid cell expansion protein,Protein
Q9BRR9,RHG09_HUMAN,Rho GTPase-activating protein 9,Protein
P18577,RHCE_HUMAN,Blood group Rh(CE) polypeptide,Protein
O75783,RHBL1_HUMAN,Rhomboid-related protein 1,Protein
Q6ZUM4,RHG27_HUMAN,Rho GTPase-activating protein 27,Protein
Q9P2F6,RHG20_HUMAN,Rho GTPase-activating protein 20,Protein
Q02161,RHD_HUMAN,Blood group Rh(D) polypeptide,Protein
A1A4S6,RHG10_HUMAN,Rho GTPase-activating protein 10,Protein
O14559,RHG33_HUMAN,Rho GTPase-activating protein 33,Protein
P0C7M4,RHF2B_HUMAN,Rhox homeobox family member 2B,Protein
O94844,RHBT1_HUMAN,Rho-related BTB domain-containing protein 1,Protein
Q9P2N2,RHG28_HUMAN,Rho GTPase-activating protein 28,Protein
Q07960,RHG01_HUMAN,Rho GTPase-activating protein 1,Protein
Q9UBD6,RHCG_HUMAN,Ammonium transporter Rh type C,Protein
Q9BYZ6,RHBT2_HUMAN,Rho-related BTB domain-containing protein 2,Protein
Q5T5U3,RHG21_HUMAN,Rho GTPase-activating protein 21,Protein
Q8IWW6,RHG12_HUMAN,Rho GTPase-activating protein 12,Protein
Q96CC6,RHDF1_HUMAN,Inactive rhomboid protein 1,Protein
P98171,RHG04_HUMAN,Rho GTPase-activating protein 4,Protein
Q9NRY4,RHG35_HUMAN,Rho GTPase-activating protein 35,Protein
Q6P4F7,RHGBA_HUMAN,Rho GTPase-activating protein 11A,Protein
Q52LW3,RHG29_HUMAN,Rho GTPase-activating protein 29,Protein
O95201,RHIT_HUMAN,Transcriptional repressor RHIT,Protein
Q7Z5H3,RHG22_HUMAN,Rho GTPase-activating protein 22,Protein
Q13017,RHG05_HUMAN,Rho GTPase-activating protein 5,Protein
Q3KRB8,RHGBB_HUMAN,Inactive Rho GTPase-activating protein 11B,Protein
Q53QZ3,RHG15_HUMAN,Rho GTPase-activating protein 15,Protein
Q9P227,RHG23_HUMAN,Rho GTPase-activating protein 23,Protein
Q15382,RHEB_HUMAN,GTP-binding protein Rheb,Protein
Q7Z6I6,RHG30_HUMAN,Rho GTPase-activating protein 30,Protein
O43182,RHG06_HUMAN,Rho GTPase-activating protein 6,Protein
Q8N264,RHG24_HUMAN,Rho GTPase-activating protein 24,Protein
Q68EM7,RHG17_HUMAN,Rho GTPase-activating protein 17,Protein
Q6ZRI8,RHG36_HUMAN,Rho GTPase-activating protein 36,Protein
Q2M1Z3,RHG31_HUMAN,Rho GTPase-activating protein 31,Protein
Q9C0H5,RHG39_HUMAN,Rho GTPase-activating protein 39,Protein
Q96D21,RHES_HUMAN,GTP-binding protein Rhes,Protein
P42331,RHG25_HUMAN,Rho GTPase-activating protein 25,Protein
Q8N392,RHG18_HUMAN,Rho GTPase-activating protein 18,Protein
A7KAX9,RHG32_HUMAN,Rho GTPase-activating protein 32,Protein
Q96QB1,RHG07_HUMAN,Rho GTPase-activating protein 7,Protein
Q5TG30,RHG40_HUMAN,Rho GTPase-activating protein 40,Protein
A6NI28,RHG42_HUMAN,Rho GTPase-activating protein 42,Protein
Q9UNA1,RHG26_HUMAN,Rho GTPase-activating protein 26,Protein
Q14CB8,RHG19_HUMAN,Rho GTPase-activating protein 19,Protein
P85298,RHG08_HUMAN,Rho GTPase-activating protein 8,Protein
Q17R89,RHG44_HUMAN,Rho GTPase-activating protein 44,Protein
A8MT19,RHN2P_HUMAN,Putative rhophilin-2-like protein RHPN2P1,Protein
Q9BSD3,RHNO1_HUMAN,"RAD9, HUS1, RAD1-interacting nuclear orphan protein 1",Protein
P84095,RHOG_HUMAN,Rho-related GTP-binding protein RhoG,Protein
Q96L33,RHOV_HUMAN,Rho-related GTP-binding protein RhoV,Protein
Q15669,RHOH_HUMAN,Rho-related GTP-binding protein RhoH,Protein
P61586,RHOA_HUMAN,Transforming protein RhoA,Protein
Q9H4E5,RHOJ_HUMAN,Rho-related GTP-binding protein RhoJ,Protein
Q8TCX5,RHPN1_HUMAN,Rhophilin-1,Protein
Q8NHV9,RHXF1_HUMAN,Rhox homeobox family member 1,Protein
Q9BQY4,RHXF2_HUMAN,Rhox homeobox family member 2,Protein
P17081,RHOQ_HUMAN,Rho-related GTP-binding protein RhoQ,Protein
Q8IUC4,RHPN2_HUMAN,Rhophilin-2,Protein
P62745,RHOB_HUMAN,Rho-related GTP-binding protein RhoB,Protein
Q7L0Q8,RHOU_HUMAN,Rho-related GTP-binding protein RhoU,Protein
A6NNX1,RIAD1_HUMAN,RIIa domain-containing protein 1,Protein
P08134,RHOC_HUMAN,Rho-related GTP-binding protein RhoC,Protein
O00212,RHOD_HUMAN,Rho-related GTP-binding protein RhoD,Protein
Q9HBH0,RHOF_HUMAN,Rho-related GTP-binding protein RhoF,Protein
Q8N443,RIBC1_HUMAN,RIB43A-like with coiled-coils protein 1,Protein
Q9H4K1,RIBC2_HUMAN,RIB43A-like with coiled-coils protein 2,Protein
Q4ADV7,RIC1_HUMAN,Guanine nucleotide exchange factor subunit RIC1,Protein
Q969G6,RIFK_HUMAN,Riboflavin kinase,Protein
Q9NPQ8,RIC8A_HUMAN,Synembryn-A,Protein
P52758,RIDA_HUMAN,2-iminobutanoate/2-iminopropanoate deaminase,Protein
Q9NVN3,RIC8B_HUMAN,Synembryn-B,Protein
Q13278,RIG_HUMAN,Putative protein RIG,Protein
Q7Z5B4,RIC3_HUMAN,Protein RIC-3,Protein
Q6R327,RICTR_HUMAN,Rapamycin-insensitive companion of mTOR,Protein
Q5UIP0,RIF1_HUMAN,Telomere-associated protein RIF1,Protein
O95153,RIMB1_HUMAN,Peripheral-type benzodiazepine receptor-associated protein 1,Protein
Q96NA2,RILP_HUMAN,Rab-interacting lysosomal protein,Protein
O15034,RIMB2_HUMAN,RIMS-binding protein 2,Protein
O95786,RIGI_HUMAN,Antiviral innate immune response receptor RIG-I,Protein
A6NDU8,RIMC1_HUMAN,RAB7A-interacting MON1-CCZ1 complex subunit 1,Protein
Q9UFD9,RIM3A_HUMAN,RIMS-binding protein 3A,Protein
A6NNM3,RIM3B_HUMAN,RIMS-binding protein 3B,Protein
A6NJZ7,RIM3C_HUMAN,RIMS-binding protein 3C,Protein
Q8IXN7,RIMKA_HUMAN,N-acetylaspartylglutamate synthase A,Protein
Q9ULI2,RIMKB_HUMAN,Beta-citrylglutamate synthase B,Protein
Q9UJD0,RIMS3_HUMAN,Regulating synaptic membrane exocytosis protein 3,Protein
O14730,RIOK3_HUMAN,Serine/threonine-protein kinase RIO3,Protein
Q9H426,RIMS4_HUMAN,Regulating synaptic membrane exocytosis protein 4,Protein
Q86UR5,RIMS1_HUMAN,Regulating synaptic membrane exocytosis protein 1,Protein
Q9H6W3,RIOX1_HUMAN,Ribosomal oxygenase 1,Protein
Q06587,RING1_HUMAN,E3 ubiquitin-protein ligase RING1,Protein
P13489,RINI_HUMAN,Ribonuclease inhibitor,Protein
Q13671,RIN1_HUMAN,Ras and Rab interactor 1,Protein
Q9UQ26,RIMS2_HUMAN,Regulating synaptic membrane exocytosis protein 2,Protein
Q9BRS2,RIOK1_HUMAN,Serine/threonine-protein kinase RIO1,Protein
Q8IUF8,RIOX2_HUMAN,Ribosomal oxygenase 2,Protein
Q6ZS11,RINL_HUMAN,Ras and Rab interactor-like protein,Protein
Q8WYP3,RIN2_HUMAN,Ras and Rab interactor 2,Protein
P57078,RIPK4_HUMAN,Receptor-interacting serine/threonine-protein kinase 4,Protein
Q9BVS4,RIOK2_HUMAN,Serine/threonine-protein kinase RIO2,Protein
Q8TB24,RIN3_HUMAN,Ras and Rab interactor 3,Protein
Q9Y4F9,RIPR2_HUMAN,Rho family-interacting cell polarization regulator 2,Protein
Q99496,RING2_HUMAN,E3 ubiquitin-protein ligase RING2,Protein
Q13546,RIPK1_HUMAN,Receptor-interacting serine/threonine-protein kinase 1,Protein
Q6NUQ1,RINT1_HUMAN,RAD50-interacting protein 1,Protein
Q5EBL4,RIPL1_HUMAN,RILP-like protein 1,Protein
Q0D2K3,RIPP1_HUMAN,Protein ripply1,Protein
Q5TAB7,RIPP2_HUMAN,Protein ripply2,Protein
Q96MK2,RIPR3_HUMAN,RIPOR family member 3,Protein
P23921,RIR1_HUMAN,Ribonucleoside-diphosphate reductase large subunit,Protein
Q6ZS17,RIPR1_HUMAN,Rho family-interacting cell polarization regulator 1,Protein
Q969X0,RIPL2_HUMAN,RILP-like protein 2,Protein
Q7LG56,RIR2B_HUMAN,Ribonucleoside-diphosphate reductase subunit M2 B,Protein
Q86UA6,RIP_HUMAN,RPA-interacting protein,Protein
O43353,RIPK2_HUMAN,Receptor-interacting serine/threonine-protein kinase 2,Protein
Q9Y572,RIPK3_HUMAN,Receptor-interacting serine/threonine-protein kinase 3,Protein
P31350,RIR2_HUMAN,Ribonucleoside-diphosphate reductase subunit M2,Protein
Q99578,RIT2_HUMAN,GTP-binding protein Rit2,Protein
Q96K30,RITA1_HUMAN,RBPJ-interacting and tubulin-associated protein 1,Protein
Q9HB40,RISC_HUMAN,Retinoid-inducible serine carboxypeptidase,Protein
Q92963,RIT1_HUMAN,GTP-binding protein Rit1,Protein
Q96L21,RL10L_HUMAN,Ribosomal protein uL16-like,Protein
P62906,RL10A_HUMAN,Large ribosomal subunit protein uL1,Protein
P27635,RL10_HUMAN,Large ribosomal subunit protein uL16,Protein
P62913,RL11_HUMAN,Large ribosomal subunit protein uL5,Protein
P40429,RL13A_HUMAN,Large ribosomal subunit protein uL13,Protein
P30050,RL12_HUMAN,Large ribosomal subunit protein uL11,Protein
P26373,RL13_HUMAN,Large ribosomal subunit protein eL13,Protein
P50914,RL14_HUMAN,Large ribosomal subunit protein eL14,Protein
P61313,RL15_HUMAN,Large ribosomal subunit protein eL15,Protein
P18621,RL17_HUMAN,Large ribosomal subunit protein uL22,Protein
Q02543,RL18A_HUMAN,Large ribosomal subunit protein eL20,Protein
Q07020,RL18_HUMAN,Large ribosomal subunit protein eL18,Protein
P84098,RL19_HUMAN,Large ribosomal subunit protein eL19,Protein
O76021,RL1D1_HUMAN,Ribosomal L1 domain-containing protein 1,Protein
P46778,RL21_HUMAN,Large ribosomal subunit protein eL21,Protein
Q6P5R6,RL22L_HUMAN,Ribosomal protein eL22-like,Protein
P35268,RL22_HUMAN,Large ribosomal subunit protein eL22,Protein
P62750,RL23A_HUMAN,Large ribosomal subunit protein uL23,Protein
P62829,RL23_HUMAN,Large ribosomal subunit protein uL14,Protein
P83731,RL24_HUMAN,Large ribosomal subunit protein eL24,Protein
P61254,RL26_HUMAN,Large ribosomal subunit protein uL24,Protein
P46776,RL27A_HUMAN,Large ribosomal subunit protein uL15,Protein
Q9UNX3,RL26L_HUMAN,Ribosomal protein uL24-like,Protein
P61353,RL27_HUMAN,Large ribosomal subunit protein eL27,Protein
P46779,RL28_HUMAN,Large ribosomal subunit protein eL28,Protein
P47914,RL29_HUMAN,Large ribosomal subunit protein eL29,Protein
P62888,RL30_HUMAN,Large ribosomal subunit protein eL30,Protein
P62899,RL31_HUMAN,Large ribosomal subunit protein eL31,Protein
P62910,RL32_HUMAN,Large ribosomal subunit protein eL32,Protein
P49207,RL34_HUMAN,Large ribosomal subunit protein eL34,Protein
P18077,RL35A_HUMAN,Large ribosomal subunit protein eL33,Protein
P42766,RL35_HUMAN,Large ribosomal subunit protein uL29,Protein
P83881,RL36A_HUMAN,Large ribosomal subunit protein eL42,Protein
Q969Q0,RL36L_HUMAN,Ribosomal protein eL42-like,Protein
Q9Y3U8,RL36_HUMAN,Large ribosomal subunit protein eL36,Protein
